"Redirect your contacts to a landing page or to your website once they have clicked on the confirmation link in the email.","Redireziona i tuoi contatti ad una landing page o al tuo sito una volta che avranno cliccato il link di conferma nella email."
"Once a contact has clicked in the double opt-in confirmation email, send them a final confirmation email","Una volta che un contatto ha cliccato nella mail di conferma doppa, spedisci una email di conferma finale"
"Select Template","Seleziona un Template"
"Select a Sendinblue template that will be sent personalized for each contact that subscribes to your newsletter","Seleziona un template Sendinblue che sarà inviato con personalizzazioni per ogni contatto iscritto alla tua newsletter"
"Import Old Subscribers","Importa vecchi Subscribers"
"To synchronize the emails of your customers from Sendinblue platform to your e-commerce website, you should run ","Per sincronizzare le email dei tuoi clienti dalla piattaforma Sendinblue al tuo sito di e-commerce dovresti eseguire "
"this link","questo link"
"each day","ogni giorno"
"Code tracking","Codice di tracciamento"
"Order Sync","Sincronizzazione Ordini"
"Do you want to install a tracking code when validating an order","Vuoi installare un codice di tracciamento quando validi un ordine"
"This feature will allow you to transfer all your customers orders from Magento into Sendinblue to implement your email marketing strategy.","Questa feature ti permetterà di trasferire tutti gli ordini dei tuoi clienti da Magento a Sendinblue per implementare la tua strategia di marketing."
"Import the data of previous orders","Importa i dati degli ordini precedenti"
"Activate Sendinblue SMTP for your transactional emails","Attiva il servizio SMTP di Sendinblue per le tue email transazionali"
"Transactional email is an expected email because it is triggered automatically after a transaction or a specific event. Common examples of transactional email are : account opening and welcome message, order shipment confirmation, shipment tracking and purchase order status, registration via a contact form, account termination, payment confirmation, invoice etc.","Una mail transazionale è attesa perchè è triggerata automaticamente dopo la transazione di un determinato evento. Esempi comuni di email transazionali sono : creazione di un account e messaggio di benvenuto, conferma di spedizione d'ordine, tracciamento di una spedizione e stato d'ordine completato, registrazione tramite form contatti, cancellazione account, conferma pagamento, ricevuta etc."
"Send email test From / To :","Spedisci una email di test Da / A :"
"Manage SMS","Gestisci SMS"
"Currently you have","Attualmente hai"
"credits sms. To buy more credits, please click","crediti sms. Per comprare altri crediti, clicca"
"here","qui"
"You want to be notified by e-mail when you do not have enough credits?","Vuoi essere avvisato per e-mail quando non hai abbastanza crediti?"
"Yes","Si"
"Update","Aggiorna"
"Please provide valid Email!","Per favore inserisci una Email valida!"
"Please provide a limit in integer format","Per favore inserisci un limite numerico di tipo intero"
"Send SMS after order confirmation","Invia un SMS dopo la conferma d'ordine"
"Send a SMS confirmation for the shipment of the order","Invia un SMS di conferma per la spedizione dell'ordine"
"Send a campaign SMS","Spedisci una campagna SMS"
"Send SMS after order confirmation","Spedisci un SMS dopo la conferma d'ordine"
"SMS settings:","Impostazioni SMS:"
"This field allows you to customize the SMS sender. The number of characters is limited to 11 alphanumeric characters. You can´t configure your Sender with a phone number.","Questo campo ti permette di customizzare il mittente degli SMS. Il numero di caratteri è limitato a 11 caratteri alfanumerici. Non puoi configurare il tuo mittente con un numero di telefono."
"Number of characters left:","Numero di caratteri rimasti:"
"Message","Messaggio"
"Create the content of your SMS with the limit of 160-character.Beyond 160 characters, it will be counted as a second SMS. Thus, if you write SMS of 240 characters, it will be recorded using two SMS.","Crea un contanuto per i tuoi SMS con un limite di 160 caratteri. Oltre i 160 caratteri sarà conteggiato come un secondo SMS. Così, se scrivi SMS di 240 caratteri, saranno registrati usando due SMS."
"Number of SMS used:","Numero di SMS utilizzati:"
"Number of characters left:","Numero di caratteri rimasti:"
"Attention line break is counted as a single character.","L'acapo viene conteggiato come un singolo carattere."
"If you want to personalize the SMS, you can use the variables below:","Se vuoi personalizzare i tuoi SMS, puoi utilizzare le seguenti variabili:"
"- For first name use {first_name}","- Per il nome utilizza {first_name}"
"- For last name use {last_name}","- Per il cognome utilizza {last_name}"
"- For order reference id use {order_reference}","- Per il numero d'ordine utilizza {order_reference}"
"- For order price use {order_price}","- Per il prezzo d'ordine utilizza {order_price}"
"- For order date use {order_date}","- Per la data dell'ordine utilizza {order_date}"
"Please fill the sender field","Inserisci il campo mittente"
"Please fill the message field","Inserisci il campo messaggio"
"Send a test SM","Invia un SMS di test"
"The phone number should be in this form: 0033663309741 for this France mobile 06 63 30 97 41 (0033 is France prefix)","Il numero di telefono deve presentarsi in questa forma: 0033663309741 che corrisponde al numero francese 06 63 30 97 41 (0033 è il prefisso Francese)"
"Sending a test SMS will be deducted from your SMS credits.","L'invio di un SMS sarà scalato dal credito SMS."
"Send a SMS confirmation for the shipment of the order","Invia una conferma SMS per la spedizione dell'ordine"
"Sender","Mittente"
"Attention line break is counted as a single character.","Attenziome, l'acapo è conteggiato come un singolo carattere."
"Send a test SMS","Invia un SMS di test"
"Sending a test SMS will be deducted from your SMS credits.","L'invio di un SMS sarà scalato dal credito SMS."
"Send a campaign SMS","Invia una campagna SMS"
"A single contact","Un singolo contatto"
"All my Magento customers","Tutti i miei customer Magento"
"Phone number of the contact","Numero telefonico del contatto"
"Schedule your sms campaign","Schedula la tua campagna sms"
"Message","Messaggio"
"You have","Tu hai"
" contacts subscribed and "," contatti iscritti e "
" contacts unsubscribed from Magento."," contatti disiscritti da Magento."
" For less details,"," Per meno dettagli,"
"Click on the icon to subscribe / unsubscribe the sms from Sendinblue and Magento.","Clicca sull icona iscrivi / disiscrivi del form sms Sendinblue e Magento."
"Unsubscribe the contact","Disiscrivi il contatto"
"Subscribe the contact","Iscrivi il contatto"
"Unsubscribe the sms","Disiscrivi l'sms"
"Subscribe the sms","Iscrivi l'sms"
"First","Primo"
"Last","Ultimo"
"Previous","Precedente"
"Next","Successivo"
"No confirmation","Nessuna conferma"
"Simple confirmation","Conferma semplice"
"Double opt-in confirmation","Conferma a due fattori"
"About Sendinblue","Su Sendinblue"
"Subscription Confirmation","Conferma iscrizione"
"Contact Sync","Sincronizzazione contatti"
"Transactional Emails and SMS Management","Email transazionali e gestione SMS"
"Contact List","Lista Contatti"
"Sendinblue Tracker","Tracciamento Sendinblue"
"Behavior Tracking","Comportamento Tracciamento"
"Transactional Mailing","Mailing Transazionale"
"Use Sendinblue to send your store's transactional mailing","Utilizza Sendinblue per inviare le mail transazionali del tuo store"
"Subscription Confirmation","Conferma iscrizione"
"Use Sendinblue subscription confirmation options to manage opt-in settings","Utilizza le opzioni di conferma d'iscrizione Sendinblue per gestire le impostazioni per conferma a due fattori"
"Sync your customers' order data","Sincronizza i dati d'ordine dei tuoi clienti"
"Sync your store contacts to Sendinblue","Sincronizza i tuoi contatti con Sendinblue"
"Learn more about the Sendinblue Tracker","Scopri di più sul Tracciamento Sendinblue"
"Do you want to track the activity of your shoppers on your store?","Vuoi tracciare l'attività dei tuoi acquirenti sul tuo store?"
"Choose Yes if you want to use Sendinblue Automation to track your website activity","Segli Si se vuoi utilizzare le automazioni Sendinblue per tracciare l'attività sul tuo sito"
"Your Marketing Automation script will be uninstalled, you would not have access to any Marketing Automation data and workflows", "Il tuo script di Automazione Marketing sarà disinstallato, non avrai accesso a nessun dato e flusso di Automazione Marketing"
"Allow Sendinblue to track visitor actions on your store website","Abilita Sendinblue a tracciare le azioni dei tuoi visitatori sul tuo e-commerce"
"Manage how a subscription is confirmed after the form is submitted","Gestisci come un'iscrizione è confermata dopo l'invio del form"
"Import your customers' order history","Import la storia degli ordini dei tuoi clienti"
"Sendinblue SMTP master password","Sendinblue SMTP master password"
"Choose Yes if you want to Sync your store contacts to Sendinblue","Segli Si se vuoi sincronizzare i tuoi contatti con Sendinblue"
"Select the contact list where you want to sync the contacts","Seleziona la lista contatti cove vuoi sincronizzare i contatti"
"If the feature is enabled, the info about order made by your customer will be synced to Sendinblue in real time","Se questa feature è abilitata, le informazioni sugli ordini dei tuoi clienti saranno sincronizzate con Sendinblue in tempo reale"
